tweet_id,entity,sentiment,tweet_content
2401,Borderlands,Positive,"im getting on borderlands and i will murder you all ,"
2402,Borderlands,Positive,So I spent a few hours making something for fun. . . If you don't know I am a HUGE @Borderlands fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg
2403,Borderlands,Neutral,"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it/RMTrgF  "
2403,Borderlands,Neutral,"Live Rock - Hard music La la Varlope, RARE & the POWERFUL, Live HANDSOME i JACKPOT, Borderlands 3 ( Sega Xbox ) dlvr. From it / e RMTrgF"
2405,Borderlands,Negative,the biggest dissappoinment in my life came out a year ago fuck borderlands 3
2405,Borderlands,Negative,the biggest dissappoinment in my life coming out a year ago fuck borderlands 3
1716,CallOfDutyBlackopsColdWar,Positive,I hope we get a trailer that was amazing as this in  
1719,CallOfDutyBlackopsColdWar,Positive,It is not the first time that the EU Commission has taken such a step.
1720,CallOfDutyBlackopsColdWar,Negative,Still iffy about this
1720,CallOfDutyBlackopsColdWar,Negative,"Nevertheless, there are skeptics."
1734,CallOfDutyBlackopsColdWar,Neutral,"No lie, I miss the game, but damn, I hope that a lot of the shit we experienced in alpha and beta is fixed at startup"
1740,CallOfDutyBlackopsColdWar,Neutral,it’s like the universe doesn’t want me to get my shit together and wants me to just sit on my ass playing video games all day #
96,Amazon,Positive,"Seeing Amazon Prime marketing Borat by getting him in TikToks, vlogs, YouTube videos is amazing.. . World's changing, if you still doubt the power of an online audience, it's time to quit."
98,Amazon,Positive,New season of 'The Boys' is back on Amazon we lit!
99,Amazon,Neutral,As much as I love political shows my wife & I decided to skip everyone & spent the day binge watching BOSCH on Amazon. What a welcome relief from gloom & doom.
99,Amazon,Neutral,"Just as I love political shows, my wife and I decided to skip everything and spent the day watching BOSCH on Amazon - what a welcome relief from the dark and doomed."
104,Amazon,Negative,"Hey @amazon I understand with everything going on there's a delay in actually shipping orders but why is it when they are now shipped (which has been relatively quick) , they are going out 7 day ups ground? Where's the 2 day shipping prime members paid for?"
107,Amazon,Negative,Researchers disclosed flaws in Amazon Alexa that could allow attackers to access personal data and install skills on Echo devices.. .  
4486,Google,Positive,"Not every chapter for this book is more than 40 pages, I don't buy it, I'll stick to powerpoints and google"
4507,Google,Positive,Happy 44th Anniversary to Hip Hop! If you love music like we do head over to google and take a lesson from @FABNEWYORK on how to become a DJ . . .  
4488,Google,Neutral,Your Health Tips Last June.. bothhealthandbeauty.info/2020/07/best-b....
4492,Google,Neutral,"I've heard of people trusting Siri / Alexa, but people seemed very willing to share socially unacceptable thoughts with Google."
4489,Google,Negative,Netflix is the new Google. Killing products just as people love them.
4496,Google,Negative,"Please copy, rt & distribute!.. Hi @ Google. We noticed this. Please fix this and also tell us your reason why this happened in the first place. @ weareoneEXO"
7287,LeagueOfLegends,Positive,Ashe or the Frost Archer is sometimes almost half as incredibly strong as Dragon Draven... Combat Attack :.. Defense :.. Magic :..... Difficulty :...
7293,LeagueOfLegends,Positive,Getting down on some hecka-gaming via the amazing world of League of Legends!. . Thirsty Thursdays - Let's SLAM!! [!COMMANDS][!MURICA]. . twitch.tv/Shawaine
7288,LeagueOfLegends,Neutral,"Listen to me: FICK. THIS. Tons of damn IP that you just had to spend on statistics, otherwise you couldn't play the game well. No more. Thanks Phreak for the new runes."
7289,LeagueOfLegends,Neutral,made a smol little piece to celebrate my team's victory in being in the top 3 of Clash for @LeagueOfLegends .  pic.twitter.com/VLYISfScqt
7291,LeagueOfLegends,Negative,@LeagueOfLegends ya know poppy bug killing the game right now right? disable that shit
7297,LeagueOfLegends,Negative,League Hockey legends sucks.
